Date,Package Name,Country,Daily Average Rating,Total Average Rating
2021-06-29,com.vansteinengroentjes.apps.ddfive,SV,NA,5.00
2021-06-29,com.vansteinengroentjes.apps.ddfive,TH,NA,5.00
2021-06-29,com.vansteinengroentjes.apps.ddfive,TR,NA,4.72
2021-06-29,com.vansteinengroentjes.apps.ddfive,TW,NA,4.00
2021-06-29,com.vansteinengroentjes.apps.ddfive,UA,NA,4.75
2021-06-29,com.vansteinengroentjes.apps.ddfive,US,NA,4.04
2021-06-29,com.vansteinengroentjes.apps.ddfive,UY,NA,4.86
2021-06-29,com.vansteinengroentjes.apps.ddfive,VE,NA,4.00
2021-06-29,com.vansteinengroentjes.apps.ddfive,VN,NA,5.00
2021-06-29,com.vansteinengroentjes.apps.ddfive,ZA,NA,4.35
2021-06-30,com.vansteinengroentjes.apps.ddfive,AR,NA,4.20
2021-06-30,com.vansteinengroentjes.apps.ddfive,AT,NA,3.83
2021-06-30,com.vansteinengroentjes.apps.ddfive,AU,NA,4.19
2021-06-30,com.vansteinengroentjes.apps.ddfive,BA,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,BD,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,BE,NA,3.70
2021-06-30,com.vansteinengroentjes.apps.ddfive,BG,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,BH,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,BN,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,BR,NA,4.35
2021-06-30,com.vansteinengroentjes.apps.ddfive,BW,NA,1.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,BY,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,CA,NA,4.12
2021-06-30,com.vansteinengroentjes.apps.ddfive,CH,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,CL,NA,4.20
2021-06-30,com.vansteinengroentjes.apps.ddfive,CN,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,CO,NA,4.72
2021-06-30,com.vansteinengroentjes.apps.ddfive,CR,NA,4.63
2021-06-30,com.vansteinengroentjes.apps.ddfive,CY,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,CZ,NA,4.80
2021-06-30,com.vansteinengroentjes.apps.ddfive,DE,NA,4.15
2021-06-30,com.vansteinengroentjes.apps.ddfive,DK,NA,4.20
2021-06-30,com.vansteinengroentjes.apps.ddfive,DO,NA,2.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,EC,NA,4.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,EE,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,EG,NA,4.86
2021-06-30,com.vansteinengroentjes.apps.ddfive,ES,NA,4.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,FI,NA,3.67
2021-06-30,com.vansteinengroentjes.apps.ddfive,FR,NA,4.50
2021-06-30,com.vansteinengroentjes.apps.ddfive,GB,NA,4.19
2021-06-30,com.vansteinengroentjes.apps.ddfive,GR,NA,4.57
2021-06-30,com.vansteinengroentjes.apps.ddfive,GT,NA,2.50
2021-06-30,com.vansteinengroentjes.apps.ddfive,HK,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,HR,NA,4.45
2021-06-30,com.vansteinengroentjes.apps.ddfive,HU,NA,4.29
2021-06-30,com.vansteinengroentjes.apps.ddfive,ID,NA,4.55
2021-06-30,com.vansteinengroentjes.apps.ddfive,IE,NA,4.41
2021-06-30,com.vansteinengroentjes.apps.ddfive,IL,NA,4.18
2021-06-30,com.vansteinengroentjes.apps.ddfive,IN,NA,4.18
2021-06-30,com.vansteinengroentjes.apps.ddfive,IQ,NA,2.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,IR,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,IS,NA,4.33
2021-06-30,com.vansteinengroentjes.apps.ddfive,IT,NA,4.28
2021-06-30,com.vansteinengroentjes.apps.ddfive,JM,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,JP,NA,4.14
2021-06-30,com.vansteinengroentjes.apps.ddfive,KR,NA,3.50
2021-06-30,com.vansteinengroentjes.apps.ddfive,KW,NA,3.50
2021-06-30,com.vansteinengroentjes.apps.ddfive,LB,NA,4.50
2021-06-30,com.vansteinengroentjes.apps.ddfive,LT,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,LU,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,LV,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,LY,NA,4.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,MD,NA,4.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,MT,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,MX,NA,4.49
2021-06-30,com.vansteinengroentjes.apps.ddfive,MY,NA,4.38
2021-06-30,com.vansteinengroentjes.apps.ddfive,MZ,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,NI,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,NL,NA,4.16
2021-06-30,com.vansteinengroentjes.apps.ddfive,NO,NA,4.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,NZ,NA,4.43
2021-06-30,com.vansteinengroentjes.apps.ddfive,PA,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,PE,NA,4.86
2021-06-30,com.vansteinengroentjes.apps.ddfive,PH,NA,4.26
2021-06-30,com.vansteinengroentjes.apps.ddfive,PK,NA,3.75
2021-06-30,com.vansteinengroentjes.apps.ddfive,PL,NA,4.32
2021-06-30,com.vansteinengroentjes.apps.ddfive,PR,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,PT,NA,3.77
2021-06-30,com.vansteinengroentjes.apps.ddfive,PW,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,PY,NA,1.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,RO,NA,4.91
2021-06-30,com.vansteinengroentjes.apps.ddfive,RS,NA,4.63
2021-06-30,com.vansteinengroentjes.apps.ddfive,RU,NA,3.83
2021-06-30,com.vansteinengroentjes.apps.ddfive,SE,NA,4.22
2021-06-30,com.vansteinengroentjes.apps.ddfive,SG,NA,4.71
2021-06-30,com.vansteinengroentjes.apps.ddfive,SI,NA,4.60
2021-06-30,com.vansteinengroentjes.apps.ddfive,SK,NA,4.25
2021-06-30,com.vansteinengroentjes.apps.ddfive,SV,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,TH,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,TR,NA,4.72
2021-06-30,com.vansteinengroentjes.apps.ddfive,TW,NA,4.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,UA,NA,4.75
2021-06-30,com.vansteinengroentjes.apps.ddfive,US,NA,4.04
2021-06-30,com.vansteinengroentjes.apps.ddfive,UY,NA,4.86
2021-06-30,com.vansteinengroentjes.apps.ddfive,VE,NA,4.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,VN,NA,5.00
2021-06-30,com.vansteinengroentjes.apps.ddfive,ZA,NA,4.35
